timestamp,voltage_V,current_A,power_kW,SOC_percent,backup_time_h
2025-12-26 11:53:01,52.414,-0.358,-0.019,19.00,0.190
2025-12-26 11:53:03,52.413,-0.353,-0.018,19.00,0.190
2025-12-26 11:53:04,52.410,-0.341,-0.018,19.00,0.190
2025-12-26 11:53:05,52.412,-0.343,-0.018,19.00,0.190
2025-12-26 11:53:06,52.416,-0.341,-0.018,19.00,0.190
2025-12-26 11:53:07,52.417,-0.260,-0.014,19.00,0.190
2025-12-26 11:53:08,52.413,-0.327,-0.017,19.00,0.190
2025-12-26 11:53:10,52.397,-0.275,-0.015,19.00,0.190
2025-12-26 11:53:11,52.398,-0.273,-0.013,19.00,0.190
2025-12-26 11:53:12,52.406,-0.309,-0.016,19.00,0.190
2025-12-26 11:53:13,52.409,-0.308,-0.016,19.00,0.190
2025-12-26 11:53:14,52.407,-0.290,-0.015,19.00,0.190
2025-12-26 11:53:16,52.406,-0.246,-0.013,19.00,0.190
2025-12-26 11:53:17,52.401,-0.278,-0.015,19.00,0.190
2025-12-26 11:53:18,52.408,-0.292,-0.015,19.00,0.190
2025-12-26 11:53:19,52.411,-0.283,-0.014,19.00,0.190
2025-12-26 11:53:20,52.416,-0.267,-0.014,19.00,0.190
2025-12-26 11:53:21,52.404,-0.283,-0.015,19.00,0.190
2025-12-26 11:53:23,52.411,-0.219,-0.011,19.00,0.190
2025-12-26 11:53:24,52.398,-0.270,-0.014,19.00,0.190
2025-12-26 11:53:25,52.400,-0.275,-0.014,19.00,0.190
2025-12-26 11:53:26,52.419,-0.284,-0.015,19.00,0.190
2025-12-26 11:53:27,52.407,-0.239,-0.013,19.00,0.190
2025-12-26 11:53:28,52.404,-0.276,-0.014,19.00,0.190
2025-12-26 11:53:30,52.416,-0.319,-0.017,19.00,0.190
2025-12-26 11:53:31,52.417,-0.272,-0.014,19.00,0.190
2025-12-26 11:53:32,52.404,-0.280,-0.015,19.00,0.190
2025-12-26 11:53:33,52.412,-0.293,-0.017,19.00,0.190
2025-12-26 11:53:34,52.407,-0.305,-0.016,19.00,0.190
2025-12-26 11:53:35,52.415,-0.281,-0.015,19.00,0.190
2025-12-26 11:53:37,52.411,-0.296,-0.016,19.00,0.190
2025-12-26 11:53:38,52.404,-0.283,-0.015,19.00,0.190
2025-12-26 11:53:39,52.414,-0.313,-0.016,19.00,0.190
2025-12-26 11:53:40,52.416,-0.352,-0.018,19.00,0.190
2025-12-26 11:53:41,52.412,-0.302,-0.016,19.00,0.190
2025-12-26 11:53:42,52.403,-0.286,-0.013,19.00,0.190
2025-12-26 11:53:44,52.400,-0.279,-0.015,19.00,0.190
2025-12-26 11:53:45,52.410,-0.301,-0.016,19.00,0.190
2025-12-26 11:53:46,52.412,-0.285,-0.015,19.00,0.190
2025-12-26 11:53:47,52.417,-0.323,-0.017,19.00,0.190
2025-12-26 11:53:48,52.403,-0.318,-0.017,19.00,0.190
2025-12-26 11:53:50,52.416,-0.328,-0.017,19.00,0.190
2025-12-26 11:53:51,52.414,-0.267,-0.014,19.00,0.190
2025-12-26 11:53:52,52.417,-0.244,-0.013,19.00,0.190
2025-12-26 11:53:53,52.412,-0.294,-0.015,19.00,0.190
2025-12-26 11:53:54,52.404,-0.339,-0.018,19.00,0.190
2025-12-26 11:53:55,52.417,-0.323,-0.017,19.00,0.190
2025-12-26 11:53:57,52.412,-0.345,-0.018,19.00,0.190
2025-12-26 11:53:58,52.398,-0.307,-0.016,19.00,0.190
2025-12-26 11:53:59,52.410,-0.395,-0.021,19.00,0.190
2025-12-26 11:54:00,52.414,-0.392,-0.021,19.00,0.190
2025-12-26 11:54:01,52.422,-0.376,-0.020,19.00,0.190
